Number of qubits:,3
Repetitions in the RealAmplitudes ansatz:,4
Number of validation data:,150

Epoch,Accuracy(conventional),Accuracy(improved)
0,0.3333333333333333,0.3333333333333333
1,0.3333333333333333,0.34
2,0.6466666666666666,0.6466666666666666
3,0.41333333333333333,0.41333333333333333
4,0.58,0.5666666666666667
5,0.6666666666666666,0.6666666666666666
6,0.6733333333333333,0.6733333333333333
7,0.7266666666666667,0.74
8,0.7866666666666666,0.78
9,0.8333333333333334,0.7933333333333333
10,0.8333333333333334,0.84
11,0.8533333333333334,0.84
12,0.8666666666666667,0.8666666666666667
13,0.8533333333333334,0.84
14,0.8933333333333333,0.9133333333333333
15,0.8933333333333333,0.9066666666666666
16,0.9066666666666666,0.9133333333333333
17,0.9133333333333333,0.9133333333333333
18,0.9466666666666667,0.9533333333333334
19,0.9133333333333333,0.94
20,0.9133333333333333,0.9333333333333333
21,0.9,0.9333333333333333
22,0.9466666666666667,0.9333333333333333
23,0.96,0.96
24,0.9266666666666666,0.96
25,0.9466666666666667,0.96
26,0.96,0.96
27,0.96,0.9733333333333334
28,0.96,0.9733333333333334
29,0.9333333333333333,0.9266666666666666
30,0.9533333333333334,0.9666666666666667
31,0.9066666666666666,0.9266666666666666
32,0.96,0.9666666666666667
33,0.94,0.9533333333333334
34,0.96,0.9666666666666667
35,0.9533333333333334,0.96
36,0.9733333333333334,0.9733333333333334
37,0.9733333333333334,0.96
38,0.9533333333333334,0.96
39,0.96,0.9466666666666667
40,0.96,0.9666666666666667
41,0.9533333333333334,0.9533333333333334
42,0.9466666666666667,0.9533333333333334
43,0.9533333333333334,0.9733333333333334
44,0.96,0.96
45,0.9666666666666667,0.9733333333333334
46,0.98,0.98
47,0.9733333333333334,0.96
48,0.9666666666666667,0.96
49,0.9666666666666667,0.96
50,0.9666666666666667,0.96

Max_accuracy,0.98,0.98
epoch,46,46
