Number of qubits:,3
Repetitions in the RealAmplitudes ansatz:,4
Number of input data in each epoch:,40
Total training epochs:,50
Learning rate:,2

Epoch,Cost function,Time(compile),Time(running),Time(total)
0,0.1407630572132925,3.4599392414093018,55.756580114364624,59.216519355773926
1,0.0370755270565812,3.207407236099243,51.27301096916199,54.48041820526123
2,0.015293671449883509,3.1939055919647217,51.33501887321472,54.52892446517944
3,0.007677224666599679,3.1979057788848877,52.998729944229126,56.196635723114014
4,0.0036388843159493632,3.2149081230163574,52.165624141693115,55.38053226470947
5,0.0028388810385520866,3.178403615951538,51.90709161758423,55.08549523353577
6,0.002000015789397653,3.1859047412872314,52.3311448097229,55.51704955101013
7,0.0022222793073364455,3.2394115924835205,52.507667541503906,55.74707913398743
8,0.001484793206325593,3.1834042072296143,54.58043098449707,57.763835191726685
9,0.0017079614863430889,3.2099077701568604,53.02923393249512,56.23914170265198
10,0.001630353338517239,3.1884050369262695,53.08324074745178,56.27164578437805
11,0.0013804809099394997,3.1879045963287354,52.969226360321045,56.15713095664978
12,0.0014756487245204516,3.1699025630950928,53.60530710220337,56.77520966529846
13,0.0016142772164113321,3.228909969329834,53.492292642593384,56.72120261192322
14,0.0012199664104498137,3.169402599334717,52.79270386695862,55.962106466293335
15,0.0012743295458636987,3.1674022674560547,52.26313662528992,55.43053889274597
16,0.0012135239288623512,3.147399663925171,52.3061420917511,55.45354175567627
17,0.0015620524264688227,3.227909803390503,52.470162868499756,55.69807267189026
18,0.0011633893653344395,3.1649019718170166,52.157623291015625,55.32252526283264
19,0.0009136999838509382,3.1824042797088623,52.33314538002014,55.515549659729004
20,0.0010632872572518574,3.1894049644470215,52.50916767120361,55.698572635650635
21,0.0012727741508292009,3.1649019718170166,53.305768966674805,56.47067093849182
22,0.0007246717106858236,3.1689023971557617,52.77670192718506,55.94560432434082
23,0.0007665265091524484,3.1849048137664795,52.35264754295349,55.53755235671997
24,0.0010351385868136353,3.1909050941467285,52.42315673828125,55.61406183242798
25,0.0008250639499740569,3.2369112968444824,55.06249213218689,58.29940342903137
26,0.0008875214078441656,3.178403377532959,52.80920624732971,55.98760962486267
27,0.0007038382473250585,3.175403118133545,52.61668157577515,55.79208469390869
28,0.0007049489469339205,3.145399570465088,51.06848478317261,54.213884353637695
29,0.0008666526298732878,3.1604013442993164,52.36514949798584,55.525550842285156
30,0.0009977630892732047,3.201406478881836,54.92797517776489,58.12938165664673
31,0.0005823958889807912,3.1814041137695312,52.38015127182007,55.5615553855896
32,0.00041372594506036345,3.1659021377563477,52.14612174034119,55.312023878097534
33,0.0007475413260883909,3.1584010124206543,52.09561514854431,55.254016160964966
34,0.0006534623411110197,3.1909050941467285,52.63718390464783,55.828088998794556
35,0.0007890311125193205,3.1889050006866455,53.32677173614502,56.515676736831665
36,0.0006710409802201997,3.1894049644470215,53.26826453208923,56.457669496536255
37,0.0008819727644475526,3.2129077911376953,54.10987114906311,57.322778940200806
38,0.0008342152838900149,3.1849043369293213,54.17337918281555,57.35828351974487
39,0.0007662210591864386,3.230910062789917,54.07886719703674,57.30977725982666
40,0.0009327064874696036,3.2104077339172363,55.020986557006836,58.23139429092407
41,0.0007661348130791273,3.2209091186523438,54.22388529777527,57.44479441642761
42,0.00044826482200587106,3.151400327682495,55.274518966674805,58.4259192943573
43,0.0007034874613788582,3.197906255722046,53.69781851768494,56.89572477340698
44,0.0005058657731497591,3.197906255722046,54.34540104866028,57.543307304382324
45,0.0005560450275470524,3.19990611076355,54.329899072647095,57.529805183410645
46,0.0006181215670471833,3.2169084548950195,54.261390209198,57.47829866409302
47,0.0006848508088992042,3.2074074745178223,53.65181279182434,56.85922026634216
48,0.0006853051314225296,3.19740629196167,54.325398206710815,57.522804498672485
49,0.0004321631466624186,3.1914052963256836,54.70794701576233,57.89935231208801
