Number of qubits:,3
Repetitions in the RealAmplitudes ansatz:,4
Number of input data in each epoch:,40
Total training epochs:,50
Learning rate:,2

Epoch,Cost function,Time(compile),Time(running),Time(total)
0,0.14239422575940824,405.6835153102875,24.796148777008057,430.47966408729553
1,0.03561363030100985,407.4412384033203,24.623626708984375,432.0648651123047
2,0.014237682591733115,408.1253254413605,24.95466899871826,433.07999444007874
3,0.007275452250969849,407.698771238327,24.7346408367157,432.4334120750427
4,0.0037765763803587157,409.12695264816284,25.14919352531433,434.2761461734772
5,0.002515253782478373,408.23433899879456,24.93216609954834,433.1665050983429
6,0.002396292984295321,409.04594230651855,24.57962131500244,433.625563621521
7,0.0023462503152563846,408.18333292007446,24.612125396728516,432.795458316803
8,0.001557755365439044,408.53937792778015,24.58662223815918,433.12600016593933
9,0.0019919739090807,407.48674416542053,25.20620083808899,432.6929450035095
10,0.001942231842352568,408.5323770046234,24.60262417793274,433.13500118255615
11,0.0016409931749934838,408.63989067077637,24.682634592056274,433.32252526283264
12,0.0015064147417189551,408.9734330177307,24.84915542602539,433.8225884437561
13,0.001673820923464773,408.9234263896942,25.14919352531433,434.07261991500854
14,0.001086027364378836,409.9900622367859,24.771645545959473,434.76170778274536
15,0.001119528484707385,408.3813579082489,25.062682628631592,433.4440405368805
16,0.0012726951299068757,409.47799706459045,24.79914903640747,434.2771461009979
17,0.0016729728072036438,408.6498918533325,24.636128425598145,433.28602027893066
18,0.0009025126194285656,408.39585971832275,24.810150384902954,433.2060101032257
19,0.0009191283615043212,408.92142629623413,25.12769103050232,434.04911732673645
20,0.0010711696914296508,409.3644826412201,24.72763991355896,434.09212255477905
21,0.0011373923943830556,408.5983853340149,24.749642848968506,433.3480281829834
22,0.0008355441166216122,409.61701464653015,24.80164933204651,434.41866397857666
23,0.0008853908120590142,408.1928336620331,24.900661945343018,433.0934956073761
24,0.0009862300544404212,408.8864221572876,25.183197498321533,434.06961965560913
25,0.0008020760565323451,408.40636110305786,24.68763494491577,433.09399604797363
26,0.0010871393533282807,408.72390127182007,25.050681114196777,433.77458238601685
27,0.0007520944129658134,408.34685373306274,25.11868953704834,433.4655432701111
28,0.0006512872816978707,408.43536496162415,24.79364824295044,433.2290132045746
29,0.0008687757410379661,409.6310167312622,24.686134576797485,434.3171513080597
30,0.0009039345564469935,408.20333528518677,24.79714870452881,433.0004839897156
31,0.0007022152209199686,409.32997846603394,24.74464201927185,434.0746204853058
32,0.0006848890716944982,409.06294441223145,24.825652599334717,433.88859701156616
33,0.0007519257269931006,408.65789318084717,24.91266369819641,433.5705568790436
34,0.0008855588212535575,407.74177622795105,25.01867699623108,432.76045322418213
35,0.0007182225872655868,408.6603932380676,24.883660078048706,433.54405331611633
36,0.0009362178100848882,407.76727986335754,25.075684070587158,432.8429639339447
37,0.000752160667179446,408.2958469390869,24.965670108795166,433.2615170478821
38,0.0005681063930785175,408.99143528938293,24.671633005142212,433.66306829452515
39,0.0007852572105774853,409.89654994010925,24.51711344718933,434.4136633872986
40,0.0005347757290287974,407.7417767047882,24.872658491134644,432.61443519592285
41,0.0009029528506098383,408.90892481803894,24.73114037513733,433.64006519317627
42,0.0006680043743174542,408.3543543815613,24.792147874832153,433.14650225639343
43,0.0006683401236237794,408.6778955459595,25.047180652618408,433.7250761985779
44,0.0005848568174787193,408.4043605327606,24.97067093849182,433.37503147125244
45,0.000835139672586849,408.9659321308136,24.77414608001709,433.7400782108307
46,0.0007855943126272083,408.7139000892639,24.58762216567993,433.30152225494385
47,0.0005178880455890045,409.8680465221405,24.6321280002594,434.5001745223999
48,0.0008185235211634894,408.45886754989624,25.16969609260559,433.62856364250183
49,0.0006513210187285128,408.30884861946106,24.927165508270264,433.2360141277313
